cate,pb_n,cate_n,rank,pb_id
수건/타월,1,26,26,3920046
욕실잡화,1,26,25,4033595
커튼,1,26,22,3764909
실내화/거실화,1,26,21,3832724
드레스룸,1,26,19,3995271
선반,2,24,11,3395935
매트,1,26,10,3694022
담요,1,26,9,3764904
러그/카페트,1,26,9,3919961
이불/이불커버,7,32,8,3640123
본넬스프링매트리스,1,25,8,1089824
패드/스프레드,5,30,7,3508395
홈웨어,1,26,5,4012257
거실장/TV장,1,26,4,3531815
매트/침대커버,3,28,3,3640210
사이드테이블,4,29,3,3395897
책상서랍장,1,17,2,2281970
베개/베개솜,6,31,2,3508389
식탁/테이블,6,31,1,3749463
깔판,1,5,1,3602793
독립스프링매트리스,2,27,1,3121605
수납침대,6,31,1,3748221
서랍/수납장,9,34,1,3752134
식탁세트,1,21,1,3104941
일반침대,4,29,1,3116503
일반의자/인테리어의자,3,28,1,3104914
일반소파,4,29,1,3955208
옷장/붙박이장,7,32,1,3538963
책상,5,30,1,2954161
전신거울,2,27,1,3615705
입식화장대,3,28,1,3116518
책장/책꽂이,4,29,1,3687421
