variable,label,higher_better,pb_n,p3_n,pb_mean,pb_median,p3_mean,p3_median,mwu_p,cohen_d,auc,pb_favor,sig_5pct
rebuy_rate,재구매율 (90d),True,76,718,0.0706,0.0565,0.0352,0.0309,1.9656042895836252e-13,1.293,0.756,PB,True
delivery_ontime,배송정시율,True,21,654,0.9833,0.9949,0.8234,0.9515,0.0035047031478728052,0.661,0.686,PB,True
wish_score,SRP 스크랩,True,72,717,0.8897,0.9228,0.9209,0.9729,0.000286631286622745,-0.288,0.373,3P,True
conversion_rate_pop,상품 PV→구매 전환율,True,76,711,0.0093,0.0043,0.0199,0.0142,2.6173829188313228e-05,-0.445,0.356,3P,True
ugc_per_buyer,구매자당 UGC 작성수,True,76,711,0.8629,0.4805,2.5427,0.9997,4.423780638281376e-06,-0.369,0.34,3P,True
sales_score,SRP 월판매,True,72,717,0.6222,0.6232,0.6711,0.67,1.2366097764491437e-06,-0.666,0.327,3P,True
card_score,SRP 장바구니,True,72,717,0.6133,0.6044,0.735,0.7433,5.5059827257300736e-08,-0.73,0.306,3P,True
review_per_buyer,구매자당 리뷰 작성률,True,76,711,1.4038,0.8708,4.3715,1.9804,9.060038894940316e-10,-0.402,0.286,3P,True
cancel_rate,취소율 (↓좋음),False,76,718,0.1211,0.1204,0.0657,0.0559,7.391541312768435e-12,1.128,0.261,3P,True
scrap_per_view,스크랩/조회 (관심도),True,76,711,1.0111,0.6671,3.5433,1.9855,8.111064690530429e-14,-0.57,0.24,3P,True
spv_score,SRP 전환력,True,72,717,0.013,0.0102,0.0286,0.0219,3.640374186500818e-15,-0.744,0.219,3P,True
review_score,SRP 리뷰점수,True,72,717,0.5169,0.4949,0.7324,0.7469,1.0917328133969674e-17,-1.213,0.194,3P,True
