cate,90d_rank,365d_rank,720d_rank
거실장/TV장,,4.0,
깔판,3.0,1.0,1.0
담요,2.0,9.0,11.0
독립스프링매트리스,1.0,1.0,1.0
드레스룸,18.0,19.0,18.0
러그/카페트,2.0,9.0,8.0
매트,4.0,10.0,9.0
매트/침대커버,3.0,3.0,9.0
베개/베개솜,4.0,2.0,2.0
본넬스프링매트리스,3.0,8.0,4.0
사이드테이블,4.0,3.0,2.0
서랍/수납장,1.0,1.0,1.0
선반,,11.0,21.0
수건/타월,18.0,26.0,26.0
수납침대,1.0,1.0,1.0
식탁/테이블,1.0,1.0,1.0
식탁세트,,1.0,1.0
실내화/거실화,24.0,21.0,25.0
옷장/붙박이장,1.0,1.0,1.0
욕실잡화,21.0,25.0,26.0
이불/이불커버,6.0,8.0,12.0
일반소파,1.0,1.0,1.0
일반의자/인테리어의자,1.0,1.0,1.0
일반침대,1.0,1.0,1.0
입식화장대,1.0,1.0,1.0
전신거울,11.0,1.0,1.0
책상,1.0,1.0,1.0
책상서랍장,4.0,2.0,6.0
책장/책꽂이,1.0,1.0,1.0
침대부속가구,,,
커튼,17.0,22.0,25.0
패드/스프레드,10.0,7.0,9.0
홈웨어,2.0,5.0,10.0
